,Brand Name,Specific Bar Origin,REF,Review Date,Cocoa Percent,Company Location,Rating,Bean Type,Bean Origin
274,Burnt Fork Bend,Trinidad,1299,2014,72%,U.S.A.,3.25,Trinitario,Trinidad
275,Burnt Fork Bend,Mindo,1299,2014,72%,U.S.A.,3.5,Forastero (Arriba),Ecuador
276,Burnt Fork Bend,Belize,1303,2014,72%,U.S.A.,3.25,Trinitario,Belize
278,Burnt Fork Bend, Bob Bar,1323,2014,60%,U.S.A.,2.5,Forastero (Arriba),Ecuador
279,Cacao Arabuco,Puerto Rico,1606,2015,70%,Puerto Rico,2.5,Trinitario,Puerto Rico
280,Cacao Atlanta,Tumbes,1215,2014,75%,U.S.A.,2.5,Criollo,Peru
281,Cacao Atlanta," ""Love Bar""",502,2010,75%,U.S.A.,2.5,Trinitario,Dominican Republic
282,Cacao Atlanta,Dominican Republic w/ nibs,502,2010,75%,U.S.A.,2.75,Trinitario,Dominican Republic
283,Cacao Atlanta,Patanemo,600,2010,75%,U.S.A.,2.25,Criollo,Venezuela
284,Cacao Barry,Grand 'Anse,1716,2016,65%,France,3.5,"Trinitario, Criollo",Haiti
285,Cacao Barry,Santo Domingo,586,2010,70%,France,3.0,Trinitario,Dominican Republic
286,Cacao Barry,Tanzania,300,2008,75%,France,2.0,Trinitario,Tanzania
287,Cacao Barry,Venezuela,141,2007,72%,France,2.0,Criollo,Venezuela
288,Cacao Barry,Mexico,147,2007,66%,France,3.0,Criollo,Mexico
289,Cacao de Origen,Chuao,1688,2015,77%,Venezuela,3.5,Trinitario,Venezuela
290,Cacao de Origen,Rio Caribe,1692,2015,75%,Venezuela,3.25,Trinitario,Venezuela
291,Cacao de Origen,Agua Fria; Sucre region,1391,2014,75%,Venezuela,2.5,Criollo,Venezuela
292,Cacao de Origen,Macuare; Miranda; Chloe formula,1391,2014,74%,Venezuela,3.25,Criollo,Venezuela
293,Cacao de Origen,Chuao,1391,2014,75%,Venezuela,3.5,Trinitario,Venezuela
294,Cacao de Origen,Chuao,1395,2014,70%,Venezuela,3.75,Trinitario,Venezuela
295,Cacao de Origin,Hacienda la Trinidad,1668,2015,74%,Venezuela,3.25,Criollo,Venezuela
296,Cacao Hunters,Macondo,1816,2016,71%,Colombia,3.75,Trinitario,Colombia
297,Cacao Hunters,Perla Negra,1816,2016,74%,Colombia,3.75,Trinitario,Colombia
298,Cacao Hunters,Arhuacos,1662,2015,72%,Colombia,3.75,Trinitario,Colombia
299,Cacao Hunters,Sierra Nevada,1430,2014,64%,Colombia,3.5,Trinitario,Colombia
300,Cacao Hunters,Tumaco,1430,2014,70%,Colombia,3.5,Trinitario,Colombia
301,Cacao Hunters,Boyaca,1434,2014,69%,Colombia,2.75,Trinitario,Colombia
302,Cacao Hunters,Arauca,1434,2014,70%,Colombia,3.25,Trinitario,Colombia
303,Cacao Market,Jutiapa,1860,2016,70%,U.S.A.,3.5,Trinitario,Honduras
304,Cacao Prieto,Criollo,991,2012,72%,U.S.A.,3.75,Criollo,Dominican Republic
305,Cacao Prieto,Dominican Republicm,641,2011,72%,U.S.A.,3.0,Trinitario,Dominican Republic
306,Cacao Prieto,Dominican Republic,641,2011,66%,U.S.A.,3.75,Trinitario,Dominican Republic
